from_course_id,to_course_id,_base_name
course-v1:SCUT+144282+201709,course-v1:SCUT+144282+2017_T1,英美音樂與文化
course-v1:ChongqingUniversity+CQUMOOCMSE21202-002+2016_T2,course-v1:CQU+CQUMOOCMSE21202002+2017T1,土木工程材料
course-v1:JLUx+0000045603+SP,course-v1:365dx+036+2017_T1,奇異的仿生學
course-v1:global_TsinghuaX+70120073X+sp,course-v1:TsinghuaX+70120073x+1T2017,finite element method analysis and applications
course-v1:BIT+PHY1701702+2015_T2_,course-v1:BIT+PHY1701702+sp,大學物理——電磁學
TsinghuaX/70150023X/2015_T1,course-v1:TsinghuaX+70150023X+2016_2017,汽車理論
course-v1:TsinghuaX+lzu_00460032X_1+2017_T1,course-v1:TsinghuaX+00460032X+2017_T2,應對氣候變化的中國視角
course-v1:365dx+145+2016_T1,course-v1:TsinghuaX+00691153X+2017_T2,不朽的藝術：走進大師與經典
course-v1:TsinghuaX+00720091X+sp,course-v1:TsinghuaX+00720091X+2017_T2,足球運動與科學
course-v1:XJTUMOOC+C00204+2016_T1,course-v1:XJTUMOOC+C0024+2016_T2,中國哲學經典著作導讀
PEC/20220214X_7/2015_T1,course-v1:pec+20220214_3X+2016_T1,重慶科技學院_電路原理
course-v1:TsinghuaX+00720091_2014X+2014_T2,course-v1:TsinghuaX+00720091X+2017_T2,足球運動與科學
course-v1:365dx+158+2016_T1,course-v1:TsinghuaX+MOOC101+2017_TS,e時代的大佬師——慕課教師的修煉心法
course-v1:TsinghuaX+10610183X+2015_T1,course-v1:TsinghuaX+10610183_2X+2017_T2,思想道德修養與法律基礎
course-v1:TsinghuaX+cau10610224X_08+2017_T1,course-v1:TsinghuaX+10610224X+2017_T2,毛澤東思想和中國特色社會主義理論體系概論
course-v1:TsinghuaX+20220214X+2016_2017,course-v1:TsinghuaX+20220214X+2017_T2,電路原理
course-v1:USMx+CC605x+2T2017,course-v1:USMx+CC605x+2T2017_2,cloud computing for enterprises
course-v1:ynu_TsinghuaX+01030132X+2017_T1,course-v1:TsinghuaX+01030132X+2017_T2,大學歷史與文化
course-v1:NJU+010101+2016_T1,course-v1:NJU+010101+2017_T2,理解馬克思
course-v1:TsinghuaX+30806872X+2016_2017,course-v1:TsinghuaX+40802842+2017_T1,中國服裝史
course-v1:hnit_TsinghuaX+34000888X+2016_T2,course-v1:TsinghuaX+34000888X+2017_T2,走進醫學
course-v1:TsinghuaX+00690302_2+2017_T2,course-v1:TsinghuaX+00690302_2+2017_T2_2,攜手向花間——崑曲經典劇目欣賞
course-v1:TsinghuaX+KB2700194102+2016_T2,course-v1:TsinghuaX+20220214X+2017_T2,電路原理
course-v1:TSINGHUA+70160613X+2016_T2,course-v1:TsinghuaX+70167012X+2016_2017,設計的人因與文化
course-v1:TsinghuaX+AP201601X+sp,course-v1:TsinghuaX+AP201601X+2016-T2,大學物理 -電磁學
course-v1:bdschool+01030132X+2015_T2,course-v1:TsinghuaX+01030132X+2017_T2,大學歷史與文化
course-v1:swust_TsinghuaX+00691153_2015X+2016_T1,course-v1:TsinghuaX+00691153X+2017_T2,不朽的藝術：走進大師與經典
PEC/20220214X/2015_T1,course-v1:yzu_TsinghuaX+20171341X+2017_T1,揚州大學_電路分析基礎
course-v1:TsinghuaX+01030132X+sp,course-v1:TsinghuaX+01030132X+2017_T2,大學歷史與文化
course-v1:ycxy_CAU+08110140_1x+2016_T2,course-v1:CAU+guangxi08110140_1x+2017_T1,c程序設計案例教程
course-v1:MITx+15_390x+2015__T2,course-v1:MITx+15_390x_2017T1+2017_T2,創業101：你的客戶是誰？
course-v1:TsinghuaX+00510663X+2015_T2,course-v1:TsinghuaX+00510663X+2017_T2,商學導論：10節課帶你走進商業世界
TsinghuaX/10450034_1X/2015_T2,course-v1:TsinghuaX+10450034_1X+2016-T2,普通生物學-細胞和分子
course-v1:LouvainX+Louv9x+1T2017,course-v1:LouvainX+Louv9x+2T2017,les principes de la finance
course-v1:TsinghuaX+40040152X_tv+2015_T1,course-v1:TsinghuaX+40040152X+2016_2017,地質學與工程地質
course-v1:edX+BlendedX+_2015_T2_,course-v1:edX+BlendedX+2016_2017,混合式學習
course-v1:JLU+291405+161711,course-v1:JLU+291405+161721,婦產科護理學_專
course-v1:TsinghuaX+AP000003X+2016_T0,course-v1:CQUMOOC+0005-ProbabilitandStatistics+2017_T1,概率論與數理統計
course-v1:tjzd_TsinghuaX+THU00013X+2016_T2,course-v1:TsinghuaX+THU00013X+2017_T2,社會創新與創業
course-v1:TsinghuaX+00310222X+sp,course-v1:TsinghuaX+00310222X+2017_T2,創客培養：趣味力學實驗與製作
course-v1:365DX+131000110+2015_T2,course-v1:365dx+130+2016_T1,大學計算機——計算思維的視角
course-v1:TsinghuaX+70240183X+2016_T11,course-v1:TsinghuaX+70240183X+2017_T1,計算幾何
course-v1:myvtc+01030132X+2015_T2,course-v1:TsinghuaX+01030132X+2017_T2,大學歷史與文化
course-v1:CIE+SHC001+2015_T2,course-v1:TsinghuaX+THU00013X+2017_T2,社會創新與創業
course-v1:Microsoft+CLD216x+3T2016,course-v1:Microsoft+CLD216x+1T2017,microsoft sharepoint online administration for the it professional
course-v1:XJTUMOOC+MACH2408+2016_T2,course-v1:mechanology+jx01+2016-T1,機械設計基礎
course-v1:TsinghuaX+00612643X+2016_T2,course-v1:TsinghuaX+00612643X+2017_T2,大唐興衰
course-v1:xuetangX+20170227X+2017_T1,course-v1:xuetangX+dbcj_20161215X+2017_T1,如何玩轉學堂雲平臺
course-v1:CAU+cfxy08110140_1x+2017_T1,course-v1:CAU+guangxi08110140_1x+2017_T1,c程序設計案例教程
course-v1:TsinghuaX+AP000004X+2016_2017,course-v1:SDUx+00931800X+2017_T2,線性代數
course-v1:TsinghuaX+01030132X+2015_T1,course-v1:TsinghuaX+01030132X+2017_T2,大學歷史與文化
course-v1:TsinghuaX+yunnan00691153X+2017_T1,course-v1:TsinghuaX+00691153X+2017_T2,不朽的藝術：走進大師與經典
course-v1:guangxi_TsinghuaX+10421075X+2016_T2,course-v1:TsinghuaX+guangxi10421084X+2017_T1,微積分b
TsinghuaX/00740043_2X/2015_T1,course-v1:TsinghuaX+huds_00740043_2X+2017_T1,c++語言程序設計進階
course-v1:IMFx+FPP.1x+2T2017,course-v1:IMFx+FPP.1x_AR+2T2017,"financial programming and policies, part 1: macroeconomic accounts & analysis"
course-v1:TsinghuaX+80512073_tv+2015_T2_MZ,course-v1:TsinghuaX+80512073X_1+2017_T1,財務分析與決策
UC_BerkeleyX/ColWri2_2x/2014_T2,course-v1:UC_BerkeleyX+ColWri2_2x_2015_T1+2017_T1,英語寫作指導ⅱ
course-v1:TsinghuaX+yunnan10610224X+2017_T1,course-v1:TsinghuaX+10610224X+2017_T2,毛澤東思想和中國特色社會主義理論體系概論
course-v1:bdschool+00034237+2015_T2,course-v1:SEU+00034237+2017_T2,中醫養生方法學
course-v1:TsinghuaX+10610193X+__2015__T2_,course-v1:TsinghuaX+10610193X+2017_T2,中國近現代史綱要
course-v1:dongguan+zhiye048+20161223,course-v1:TsinghuaX+40250144X+sp,信號與系統分析
course-v1:ACCA+FA1_X+sp,course-v1:ACCA+FA1_X+2017_T2,初級財務會計
course-v1:HAUNU+PHY001+2015_T2,course-v1:TsinghuaX+10430484X_2015_2+2017_T2,大學物理1
