courseid,coursename
19231,course-v1:CPVS+CPVS-HDLSC001+20160901
19232,course-v1:SCUT+144282+201709
19233,course-v1:ZK+06093+J
19234,course-v1:nuist+001+2016-T1
19235,FUDAN/CFD004/2014.9-2015.1
19236,course-v1:ANUx+EBM05x+3T2017
19237,course-v1:ChongqingUniversity+CQUMOOCMSE21202-002+2016_T2
19238,course-v1:JLUx+0000045603+SP
19239,course-v1:TsinghuaX+00680082_1X_p1+sp
19240,course-v1:global_TsinghuaX+70120073X+sp
19241,course-v1:CIE+CXST001+2015_T2
19242,course-v1:JaverianaX+GEN1.0x+1T2017
19243,course-v1:TsinghuaX+TsinghuaMandarin01+2016_2017
19244,course-v1:BIT+PHY1701702+2015_T2_
19245,course-v1:SDJTU+lyh+2017_T2
19246,course-v1:TsinghuaX+30240184.1x+1T2017
19247,course-v1:WageningenX+GFFCx+2T2017
19248,TsinghuaX/70150023X/2015_T1
19249,course-v1:HKUx+HKU06.1x+3T2017
19250,course-v1:TsinghuaX+00612642X_p6+sp
19251,course-v1:TsinghuaX+lzu_00460032X_1+2017_T1
19252,course-v1:365dx+145+2016_T1
19253,course-v1:Microsoft+DEV273x+2T2017
19254,course-v1:TsinghuaX+00720091X+sp
19255,course-v1:XJTUMOOC+C00204+2016_T1
19256,PEC/20220214X_7/2015_T1
19257,course-v1:DelftX+PV2x+3T2017
19258,course-v1:TsinghuaX+00720091_2014X+2014_T2
19259,course-v1:dongguan+gaozhong10+20161223
19260,course-v1:365dx+158+2016_T1
19261,course-v1:TsinghuaX+10610183X+2015_T1
19262,course-v1:TsinghuaX+cau10610224X_08+2017_T1
19263,course-v1:NUDT+520804502+sp
19264,course-v1:TsinghuaX+20220214X+2016_2017
19265,course-v1:USMx+CC605x+2T2017
19266,course-v1:dongguan+gaozhong27+20161223
19267,course-v1:ynu_TsinghuaX+01030132X+2017_T1
19268,course-v1:JLU+260310+161721
19269,course-v1:NJU+010101+2016_T1
19270,course-v1:TsinghuaX+30806872X+2016_2017
19271,course-v1:xuetangX+ynni_20161215X+2017_T1
19272,course-v1:DYU+dyuglbbx+2017_T2
19273,course-v1:UQx+Able101x+3T2016
19274,course-v1:hnit_TsinghuaX+34000888X+2016_T2
19275,course-v1:DelftX+ScratchX+3T2016
19276,course-v1:TsinghuaX+00690302_2+2017_T2
19277,course-v1:ZK+00316+J
19278,course-v1:shandongjiaotonguniversity+wlsy01+2016_T2
19279,course-v1:CQU+TSJYSSG00031+2017_T1
19280,course-v1:TsinghuaX+KB2700194102+2016_T2
19281,course-v1:TSINGHUA+70160613X+2016_T2
19282,course-v1:TsinghuaX+AP201601X+sp
19283,course-v1:bdschool+01030132X+2015_T2
19284,course-v1:swust_TsinghuaX+00691153_2015X+2016_T1
19285,PEC/20220214X/2015_T1
19286,course-v1:TsinghuaX+01030132X+sp
19287,course-v1:ycxy_CAU+08110140_1x+2016_T2
19288,course-v1:EPFLx+FndBioImg2x+1T2017
19289,course-v1:MITx+15_390x+2015__T2
19290,course-v1:TsinghuaX+00510663X+2015_T2
19291,TsinghuaX/10450034_1X/2015_T2
19292,course-v1:CollegeOfEducation+052001+17181
19293,course-v1:LouvainX+Louv9x+1T2017
19294,course-v1:TsinghuaX+40040152X_tv+2015_T1
19295,course-v1:edX+BlendedX+_2015_T2_
19296,course-v1:JLU+291405+161711
19297,course-v1:TsinghuaX+AP000003X+2016_T0
19298,course-v1:tjzd_TsinghuaX+THU00013X+2016_T2
19299,course-v1:CQU+TSJYHG00062+2017_T1
19300,course-v1:TsinghuaX+00310222X+sp
19301,course-v1:UCSanDiegoX+LTM1x+3T2016
19302,course-v1:hebut+2016_Tu4+2016_T1
19303,course-v1:RWTHx+MTI003x+3T2017
19304,course-v1:365DX+131000110+2015_T2
19305,course-v1:CQU+TSJYHG00017+2017_T1
19306,course-v1:SDJTU+240113A+2016_T2
19307,course-v1:TsinghuaX+70240183X+2016_T11
19308,course-v1:myvtc+01030132X+2015_T2
19309,course-v1:CIE+SHC001+2015_T2
19310,course-v1:TsinghuaX+90640012X_p4+sp
19311,ThtfSEM/THTF_2_01/2015_04
19312,course-v1:Microsoft+CLD216x+3T2016
19313,course-v1:TsinghuaX+20220332X_p1+sp
19314,course-v1:XJTUMOOC+MACH2408+2016_T2
19315,course-v1:CPVS+CPVS-homework_shuziyingxiang+20170712
19316,course-v1:Microsoft+DAT101x+2T2017
19317,course-v1:TsinghuaX+00612643X+2016_T2
19318,course-v1:TsinghuaX+AP000001X+2017_ST
19319,course-v1:WageningenX+NUTR101x+2017_T2
19320,course-v1:xuetangX+20170227X+2017_T1
19321,course-v1:CAU+cfxy08110140_1x+2017_T1
19322,course-v1:TsinghuaX+AP000004X+2016_2017
19323,course-v1:RITx+CYBER525x+3T2017
19324,course-v1:TsinghuaX+01030132X+2015_T1
19325,course-v1:TsinghuaX+yunnan00691153X+2017_T1
19326,course-v1:guangxi_TsinghuaX+10421075X+2016_T2
19327,course-v1:GeorgetownX+BIOX-201-01x+2T2017_2
19328,course-v1:UC3Mx+HGA.2.1x+1T2017
19329,course-v1:ZK+07729+J
19330,TsinghuaX/00740043_2X/2015_T1
19331,course-v1:IMFx+FPP.1x+2T2017
19332,course-v1:TsinghuaX+80512073_tv+2015_T2_MZ
19333,course-v1:UPValenciaX+IQ101.2x+1T2017
19334,course-v1:zhongrongxin+jbqy003+2016_7
19335,UC_BerkeleyX/ColWri2_2x/2014_T2
19336,course-v1:ENG+ENG001+2016_T1
19337,course-v1:SDUx+00931800X+2017_T2
19338,course-v1:TsinghuaX+yunnan10610224X+2017_T1
19339,course-v1:bdschool+00034237+2015_T2
19340,course-v1:MichiganX+SW521x+1T2017
19341,course-v1:TsinghuaX+10610193X+__2015__T2_
19342,course-v1:dongguan+zhiye048+20161223
19343,course-v1:test101+test101+2016_T1
19344,course-v1:ACCA+FA1_X+sp
19345,course-v1:HAUNU+PHY001+2015_T2
19346,course-v1:TsinghuaX+30240184_p1+sp
19347,course-v1:UPValenciaX+ISC101.4x+1T2017
19348,course-v1:WageningenX+NUTR103+3T2016
19349,course-v1:gxun+00701032X+2015_T2
19350,course-v1:NUDT+520804502+2016_T2
19351,course-v1:TsinghuaX+30670043X+sp
19352,course-v1:UQx+Denial101x+2T2017
19353,course-v1:HIT+SPOC-1+2016-2
19354,course-v1:SDJTU+110267+2017_T2
19355,course-v1:TsinghuaX-yzu+10610193X+2015_T2
19356,course-v1:skillchina_TsinghuaX+THU00022X+2016_T1
19357,course-v1:CPVS+CPVS-homework_xueqianxiaoban16ji+20170712
19358,course-v1:JLU+30640014X+161721
19359,course-v1:SDUx+sd01020140+2016_T2
19360,course-v1:TsinghuaX+40990255X_1+2016_T2
19361,course-v1:sjtuxy+040301+2017-T3
19362,TsinghuaX/80000901X/2014_T2
19363,course-v1:GalileoX+CET001X+3T2016
19364,course-v1:RITx+PM9004x+3T2017
19365,course-v1:TsinghuaX+10430494X+2014_T2
19366,course-v1:liaoningX+LNA20140000024+01
19367,course-v1:FUDANx+ECON130007_01_P1+sp
19368,course-v1:gznu10663+ustcXLB05203a+2015_T2
19369,course-v1:ustcX+USTC001+2016_2017
19370,course-v1:CPVS+CPVS-LY002+2016_T2
19371,course-v1:MITx+15_671x+2017_T2
19372,course-v1:NUDT+082501502+2016_2
19373,course-v1:TsinghuaX+20440333_2014X+2014_T2
19374,course-v1:TsinghuaX+TsinghuaMandarin01+sp
19375,course-v1:HBUE+ZB3121+2016-T2
19376,course-v1:MITx-cug+15_390x1+2015_T2
19377,course-v1:RWTHx+CA101+3T2016
19378,course-v1:TsinghuaX+40600093X+2016_T2
19379,course-v1:bdschool+10800032+2015_T2
19380,course-v1:xjtu+MLMD100514+2017_T2
19381,HNU/HNU001/2015_T1
19382,course-v1:ACCA+MA2_X+sp
19383,course-v1:Microsoft+CLD215x+2T2016
19384,course-v1:hit+123456+2017_T1
19385,NJU/10430484_2015X/2015_T1
19386,course-v1:HKPolyUx+HTM533x+3T2017
19387,course-v1:dongguan+zhiye046+20161223
19388,course-v1:CQUMOOC+0002-StructuralMechanics+2017_T1
19389,course-v1:MITx+6_00_1x+sp
19390,course-v1:TsinghuaX+00690212X_p1+sp
19391,course-v1:TsinghuaX-cug+80512073X+2015_T2
19392,course-v1:dongguan+zhiye012+20161223
19393,course-v1:RiceX+PHYS102.1x+3T2016
19394,course-v1:TsinghuaX+30240243X+_2015_T2
19395,course-v1:dongguan+zhongshen012+20161223
19396,course-v1:NSU_TsinghuaX+00510888X+2016_T2
19397,course-v1:TsinghuaX+TSINGHUA107+2016-T2
19398,TsinghuaX/00701032X/2015_T1
19399,course-v1:TsinghuaX+10421065X+2015_T2
19400,course-v1:TsinghuaX+MOOC101+2014_T2
19401,course-v1:zhongrongxin+fw0122016_7+2016_7
19402,course-v1:CQUMOOC+0008-SocialPsychology+2017_T1
19403,course-v1:SDUx+sd010201402+2016--T2
19404,course-v1:TsinghuaX+20350033X+2016_T1
19405,course-v1:TsinghuaX+80590952X+2016_TS
19406,course-v1:UTPermianBasin+SOCI101x+3T2016
19407,course-v1:ynu_TsinghuaX+80000822X+2017_T1
19408,course-v1:IMFx+DSLx+3T2016
19409,course-v1:UC3Mx+ECO.1x+1T2017
19410,course-v1:ycxy_SDUx+131000110+2016_T2
19411,course-v1:Collegeofart+ZB4017+2016-T1
19412,course-v1:ZUEL+B0680090_2015_T2+2015_T2
19413,course-v1:xuetangx+credittest7+2017_T1
19414,TsinghuaX/30240184_2015X/2015_T1
19415,course-v1:CQU+CHEM10000+2016-T2
19416,course-v1:IMFx+FPP.1x_AR+2T2017
19417,course-v1:NEU+CS102+2016_T2
19418,course-v1:UAMx+SegAlim201x+1T2017
19419,course-v1:hnit_TsinghuaX+20220053X+2016_T2
19420,course-v1:yunnan_TsinghuaX+10450034_2X+2016_T2
19421,course-v1:365dx+CS77+2017_T1
19422,course-v1:Microsoft+CLD209.2x+2T2017
19423,course-v1:TsinghuaX+huds_00740043X+2017_T1
19424,course-v1:sicau+00740113X+2015_T2
19425,course-v1:DavidsonNext+Phy_APccx+2T2016
19426,course-v1:TsinghuaX+AP000011X+sp
19427,course-v1:guangxi_SDUx+sd010201402+2016_T2
19428,course-v1:tjmv_TsinghuaX+00310222X+2016_T2
19429,course-v1:JLU+00691153X+151621
19430,course-v1:TsinghuaX+01030132X+2016_TS
19431,course-v1:UPValenciaX+BMI101x+2T2017
19432,course-v1:ZZUX+2017041801X+sp
19433,course-v1:MISiSx+18.11x+1T2017
19434,course-v1:shandongjiaotongUniversity+070409+2016-2017-1
19435,course-v1:TsinghuaX+70510773X+2016_T1
19436,course-v1:HITx+13SC03100710_2x+sp
19437,course-v1:Microsoft+DEV238x+3T2017
19438,course-v1:TsinghuaX+20120143X+2017_T2
19439,course-v1:ycit_TsinghuaX+20440333X+2016_T1
19440,SDSZ/15_390x/2015_T1
19441,course-v1:TsinghuaX+30130503X+2016_T2
19442,course-v1:USMx+CC615x+3T2017
19443,ThtfSEM/THTF_2_02/2015_04
19444,course-v1:CQU+TSJYSSG00012+2017_T1
19445,course-v1:MITx+18.01.1x+2T2017
19446,course-v1:TsinghuaX+30040323X+2016_T1
19447,course-v1:TsinghuaX-cug+00701032X+2015_T2
19448,course-v1:xuetangX+345+2017_T2
19449,course-v1:61969_TsinghuaX+40670453X+2016_T2
19450,course-v1:liaoningX+LNA20150000052+01
19451,MITx/15_390x_2015_T1/2015_T1
19452,course-v1:JLU+310306+161711
19453,course-v1:TsinghuaX+20140064X+sp
19454,course-v1:TsinghuaX+cfxy80512073X+2017_T1
19455,course-v1:qpzd+sjpx+2016_T1
19456,course-v1:BUx+QD504x+3T2017
19457,course-v1:MichiganX+GL101x+1T2017
19458,course-v1:TsinghuaX+00680142X+2017_T1
19459,course-v1:TsinghuaX+AP201601X+2016_T2
19460,course-v1:W3Cx+CSS.0x+1T2016
19461,course-v1:edX+VideoX+3T2016
19462,JXUFE/CS166/2014_T1
19463,course-v1:CQU+TSJYSSG00038+2017_T1
19464,course-v1:NUDT+2017032102+2017_T1
19465,course-v1:TsinghuaX+10421094X_2015_2+sp
19466,course-v1:TsinghuaX+60510102X+2017_T2
19467,course-v1:dongguan+zhiye042+20161223
19468,course-v1:zhongrongxin+fw004+2016_7
19469,TsinghuaX/20440333_2015X/2015_T1
19470,course-v1:CLE+CLE2017001+2017_T2
19471,course-v1:TsinghuaX+CAU10610224X_05+2017_T1
19472,course-v1:Wharton+MarketingAnalytics101x+1T2017
19473,course-v1:xduX+10610224X+2015_T2
19474,course-v1:HarvardX+PH425x+2T2017
19475,course-v1:Microsoft+DAT215.2x+3T2016
19476,course-v1:TsinghuaX+20120143X+2016_T1
19477,course-v1:XJTU+BIOL3028+2014_T2_
19478,course-v1:dongguan+zhiye059+20161223
19479,course-v1:zhongrongxin+fx003+2016_7
19480,course-v1:Microsoft+CLD208.2x+3T2017
19481,course-v1:UQx+PSYC1030.4x+1T2017
19482,course-v1:liaoningX+LNA20150000076+01
19483,course-v1:BabsonX+BPET.STATx+1T2017
19484,course-v1:IC+IC16001_01+2017_S1
19485,course-v1:TsinghuaX+THU201605X+2017_T2
19486,course-v1:zhongrongxin+cw003+2016_7
19487,TsinghuaX/10430494_2015X/2015_T1
19488,course-v1:TsinghuaX+00740113_2X+2016_2017
19489,course-v1:TsinghuaX+70150023X+sp
19490,course-v1:nuctech_TsinghuaX+40670453X+2016_T1
19491,TSINGHUA/10610193X/2015_T1
19492,course-v1:MITx+15_390x_2016T1+2016_T1
19493,course-v1:RiceX+RELI157x+sp
19494,course-v1:TsinghuaX+30040323X+2015_T2
19495,TsinghuaX/30240243X/2015_T1
19496,course-v1:HKPolyUx+ANA101x+2T2017
19497,course-v1:TsinghuaX+20220214X+2016_T2
19498,course-v1:dongguan+zhiye090+20161223
19499,course-v1:CIE+THU00015X+2015_T2
19500,course-v1:NTHU+MOOC_04_001+sp
19501,course-v1:TsinghuaX+40050455X_2015_2+2015_T2
19502,course-v1:nuctech_TsinghuaX+00690342X+2016_T1
19503,TsinghuaX/20220332_2X/_
19504,course-v1:PurdueX+416.2x+3T2016
19505,course-v1:TsinghuaX+20220332X+2017_T2
19506,course-v1:XJTUMOOC+BIME200313+2016_T1
19507,NEU/CCS0001/2015_T1
19508,course-v1:Ouchn_byxy+01001+2017_T2
19509,course-v1:TsinghuaX+10430494X_2015_2+sp
19510,course-v1:TsinghuaX+JRFX01+2016_TS
19511,course-v1:liaoningX+LNA20150000118+01
19512,course-v1:365dx+157+2016_T1
19513,course-v1:JaverianaX+Papasoc.1602x.07+3T2016
19514,course-v1:TNUA+AN35006+2017_T2
19515,course-v1:TsinghuaX+30640014X-p5+sp
19516,course-v1:JaverianaX+GesTer.1602x.08+1T2017
19517,course-v1:TsinghuaX+30150303X+2015_T2
19518,course-v1:USMx+BIF001x+2T2017
19519,course-v1:gdou_HIT+GH47100100+2017_T1
19520,course-v1:sdjtxy+040304+20172
19521,course-v1:zhongrongxin+jbqy007+2016_7
19522,course-v1:BIT+01030132X+2015_T2
19523,course-v1:FudanX+SOSC120007+2017_T1
19524,course-v1:TsinghuaX+00690342X+2017_T2
19525,NCTU/DCT3082/2014_T2
