id,course_id,start,end,course_type,category,course_name,course_syllabus,course_keyword,course_category,_pref
274,AXT/CZS1001/201410,2014-09-01 00:00:00,2015-07-10 23:30:00,0,,初一數學,"本課分爲兩部分，第一部分爲有理數，這部分是整個初中數學的基礎，是以後所有數學內容的鋪墊，所以需要熟練掌握。
     第二部分內容爲整式，本部分介紹了最簡單的代數式，也就是整式的概念和基本運算。","初一數學,隨堂模式,,",程式,1
452,AXT/CZS1002/201411,2014-09-01 00:00:00,2015-07-10 23:30:00,0,,初二數學,軸對稱與勾股定理在實際生活中都有廣泛的應用。學好這兩者，將幫助我們更好地理解數學與生活的密切聯繫，做到學以致用。,"初二數學,隨堂模式,,",程式,1
453,AXT/CZS1003/201411,2014-09-01 00:00:00,2015-07-10 23:30:00,0,,初三數學,這個課程給大家帶來了初中數學的大boss，令人聞風喪膽的二次函數，哈哈，其實也不用那麼害怕，因爲無論研究什麼，咱都得先認識他，快去看看怎麼回事兒吧。,"初三數學,隨堂模式,,",科學,1
276,AXT/CZY1001/201410,2014-09-01 00:00:00,2015-07-10 23:30:00,0,,初一英語,"本課程共包含語法、閱讀和寫作三部分。
第一部分語法主要對初一年級七個重要的語法點進行講解，分別是句子成分之主謂賓、名詞的分類、名詞的數、冠詞的概述、冠詞用法、名詞所有格和名詞辨析。更多精彩內容盡在初一英語課程~","初一英語,隨堂模式,,",語言,1
454,AXT/CZY1002/201411,2014-09-01 00:00:00,2015-07-10 23:30:00,0,,初二英語,"初二年級課程簡介：
本課程共包含三章：第一章語法部分主要包含四個初二年級重要語法知識點，分別是情態動詞概述、狀語從句概述、反義疑問句和不定式的用法。第二章閱讀：本部分閱讀主要包含四篇閱讀精講，更多精彩內容，盡在初二英語課堂~","初二英語,隨堂模式,,",語言,1
455,AXT/CZY1003/201411,2014-09-01 00:00:00,2015-07-10 23:30:00,0,,初三英語,"初三年級課程簡介：
本課程共包含兩章：其中第一章短語課程通過新穎鮮活的內容情節展開中考必備重點短語的講解，精準的考點總結和輕鬆愉快的畫面，使得備考中考的學員複習起來高效而不枯燥。更多精彩內容盡在初三英語課程~","初三英語,隨堂模式,,",語言,1
441,AXT/GZDL1001/201411,2014-09-01 00:00:00,2015-07-10 23:30:00,0,,高中地理,本課程內容主要涉及必修二中農業和工業兩大章節的內容， 從農業和工業的起源、農業和工業區位因素以及農業和工業發展等方面進行講解。課程案例豐富，內容講解詳盡，不僅可以感受名師的風采，更能快速地掌握相關知識。,"高中地理,隨堂模式,,",商管,1
442,AXT/GZHX1001/201411,2014-09-01 00:00:00,2015-07-10 23:30:00,0,,高中化學,"主要內容：1、基本掌握高一化學必修1的核心知識。
2、更新高中化學觀念，掌握理科學習方法。","高中化學,隨堂模式,,",科學,1
443,AXT/GZLS1001/201411,2014-09-01 00:00:00,2015-07-10 23:30:00,0,,高中歷史,"主要內容：① 針對學生普遍存在的歷史線索模糊、宏觀領悟不到位問題而講解。
②黃老師課程會讓你瞬間明晰，理解通透。
③針對學生審題不清、把握關鍵詞能力不強而精選例題進行講解。
④進行單元總結和能力提升。","高中歷史,隨堂模式,,",科學,1
444,AXT/GZSW1001/201411,2014-09-01 00:00:00,2015-07-10 23:30:00,0,,高中生物,"本課程分爲三大塊知識：
--人和高等動物生命活動的調節
--植物生命活動的調節
--生物與環境","高中生物,隨堂模式,,",科學,1
445,AXT/GZSX1001/201411,2014-09-01 00:00:00,2015-07-10 23:30:00,0,,高中數學,本課程教你明白“集合”中的“一、二、三”、“函數”中的“念、示、域”、“函數”中的“調、稱、最”、“函數”中的“指、對、冪”和“函數”中的“點、根、模”。,"高中數學,隨堂模式,,",程式,1
446,AXT/GZWL1001/201411,2014-09-01 00:00:00,2015-07-10 23:30:00,0,,高中物理,該課程圍繞高二物理《選修3-1》中最核心的物理概念、物理規律、物理實驗等展開討論、分析、歸納和應用探索，從而加深學生對物理的認識和理解，提高應用解題能力和實驗操作能力。,"高中物理,隨堂模式,,",科學,1
448,AXT/GZYW1001/201411,2014-09-01 00:00:00,2015-07-10 23:30:00,0,,高中語文,本課程以粵教版語文課程體系爲“經”，以單元綜合講解爲“緯”。每講又切分四個板塊：“知識盤點”“重點演繹”“方法點撥”“思維拓展”。,"高中語文,隨堂模式,,",語言,1
449,AXT/GZZZ1001/201411,2014-09-01 00:00:00,2015-07-10 23:30:00,0,,高中政治,課程結合教材的內容，有針對性地分析現實社會及生活中經濟現象或事例，尤其是將當今國內外發生的重大事件、時政熱點與書本中抽象的政治理論知識生動、形象地相結合起來，爲學生理清答題思路，提高學習成績提供強有力的保障！,"高中政治,隨堂模式,,",商管,1
775,BJ5HS/ENG001/2015_T1,2015-04-14 08:00:00,2015-04-16 08:40:00,0,,高中英語,主要通過對於祖國傳統節日的認識基礎之上，向外國友人介紹我國傳統節日,"高中英語,隨堂模式,,",語言,1
473,ChengDuU/06418020/2015_T1,2014-12-01 08:00:00,2015-06-01 00:00:00,0,,國學經典導論,,"國學經典導論,隨堂模式,,",科學,1
495,ChengDuU/09420020/2014_T2,2015-01-01 08:00:00,2016-12-31 00:00:00,0,,法理學,,"法理學,隨堂模式,,",程式,1
472,ChengDuU/15520170/20150301,2014-12-01 08:30:00,2015-06-01 23:00:00,0,,教師職業道德,,"教師職業道德,隨堂模式,,",教育,1
622,DSA/30240184X/2015_T1,2015-03-09 08:00:00,2015-07-10 23:59:00,0,,數據結構_寧夏大學,"數據結構是計算機科學的關鍵內容，也是構建高效算法的必要基礎。其中涉及的知識，在相關專業的課程系統中始終

處於核心位置。本課程旨在圍繞各類數據結構的設計與實現，揭示其中的規律原理與方法技巧；同時針對算法設計及其性能

分析，使學生了解並掌握主要的套路與手段。講授的主題從基礎的數據結構，一直延伸至新近的研究成果。","數據結構_寧夏大學,隨堂模式,,",程式,1
623,DSA/30240184X_1/2015_T1,2016-03-01 23:30:00,2016-07-31 23:59:00,0,,數據結構_新疆大學,"數據結構是計算機科學的關鍵內容，也是構建高效算法的必要基礎。其中涉及的知識，在相關專業的課程系統中始終

處於核心位置。本課程旨在圍繞各類數據結構的設計與實現，揭示其中的規律原理與方法技巧；同時針對算法設計及其性能

分析，使學生了解並掌握主要的套路與手段。講授的主題從基礎的數據結構，一直延伸至新近的研究成果。","數據結構_新疆大學,隨堂模式,,",程式,1
256,DavidsonX/001x/2014_T2,2017-03-01 08:00:00,,1,chemistry,藥物化學,這門課程將介紹一種藥如何從理念到進入到市場，以及藥物的化學結構與其生物功能的關係。,"藥物化學（自主模式）,自主模式,美國戴維森學院,醫學·健康,化學",商管,1
674,ENG/30640014X_1/2015_T1,2015-04-15 09:00:00,2015-06-30 12:00:00,0,,浙醫藥_大學英語和大學英語聽力,,"浙醫藥_大學英語和大學英語聽力,隨堂模式,,",語言,1
675,ENG/30640014X_2/2015_T1,2015-04-13 09:00:00,2015-07-15 12:00:00,0,,清華大學_宇宙中心的英語聽說課,,"清華大學_宇宙中心的英語聽說課,隨堂模式,,",程式,1
231,FUDAN/CFD004/2014.9-2015.1,2014-09-10 08:00:00,2015-09-10 00:00:00,0,,復旦大學青年教師教學發展研修班,,"復旦大學青年教師教學發展研修班,隨堂模式,,",程式,1
249,FUDAN/CFD004_1/2014_T2,2014-09-23 08:00:00,2016-10-19 00:00:00,0,,復旦大學教師教學發展中心研修資源,,"復旦大學教師教學發展中心研修資源,隨堂模式,復旦大學,",程式,1
484,HVMOOC/0123/2015_01_01,2015-04-20 08:00:00,2015-06-30 00:00:00,0,,App Inventor應用開發,APP Inventor 是一門基於Android系統的快速開發語言。它簡單，有趣。學習者不需要具備任何程序開發基礎，也不需要有計算機專業技能，都可以輕鬆學會。,"App Inventor應用開發,隨堂模式,,",程式,1
485,HVMOOC/DZ101/2014_T1,2015-04-15 08:00:00,2015-09-09 18:00:00,0,,電子電路調試與應用,本課程是高職高專院校電類各專業的一門專業基礎課，主要講述二極管、三極管、場效應管、集成運算放大器、功率放大器、直流電源、信號發生器等器件與電路模塊在生產生活中的應用，提供近30個實驗項目的演示與實踐指導。,"電子電路調試與應用,隨堂模式,,",程式,1
483,HVMOOC/MU001/2015_T1,2015-06-10 19:00:00,2016-01-01 20:30:00,0,,網頁創意與藝術設計,網頁藝術設計是網站建設從技術形態的延伸，以視覺藝術爲主要表現形式。本課程將網頁藝術設計與其他藝術設計形式進行比較，嘗試從網頁藝術設計的內容、原則和特點等方面在理論上進行深入探討，並對網頁藝術設計的具體技巧進行專門分析。,"網頁創意與藝術設計,隨堂模式,,",藝術,1
482,HVMOOC/sict_01/2015_T1,2015-10-20 08:00:00,2016-12-31 08:30:00,0,,智能設備應用開發,本課程主要面向高職院校移動互聯網、物聯網應用技術、軟件技術等專業在校生，以及具有Java編程基礎有意向從事基於Android的智能設備應用開發等相關工作崗位的上班族。,"智能設備應用開發（基於Android平臺）,自主模式,,",程式,1
500,JXUFE/17424/2015_T1,2015-01-01 08:00:00,2016-01-01 08:00:00,0,,信號與系統,,"信號與系統,隨堂模式,,",程式,1
494,JXUFE/CS166/2014_T1,2015-01-01 08:00:00,2016-01-01 08:00:00,0,,Java語言程序設計,,"Java語言程序設計,隨堂模式,,",程式,1
576,JXUFE/LX01/042,2015-01-01 08:00:00,2016-01-01 08:00:00,0,,留學分享會,,"留學分享會,隨堂模式,,",語言,1
213,NCTU/DCT3082/2014_T2,2014-10-15 08:00:00,2015-02-09 01:00:00,0,social science,電子遊戲與社會,你能想象打電玩的同時也可以學習嗎？如果你想了解電子遊戲的歷史，它對社會、文化和教育方面的影響，並學習如何更深入地打電子遊戲，那你一定不能錯過這堂課。這門課提供你如何從跨學科的角度觀察電子遊戲，並讓你更瞭解電子遊戲發展的歷史、分類以及它所帶來的影響。,"電子遊戲與社會,隨堂模式,臺灣交通大學,社科·法律",商管,1
627,NEU/CSC0001/2015_T1,2015-01-01 08:00:00,2015-12-31 00:00:00,0,,計算機控制系統,,"計算機控制系統,隨堂模式,東北大學,",程式,1
754,NJU/10430484_2015X/2015_T1,2016-09-01 09:00:00,2017-01-07 10:00:00,0,,大學物理一,"各位同學，大家好！
   由於本學期《大學物理1》主要採取看書爲主，本視頻作爲課餘參考課堂。歡迎大家網上學習和討論！

王軍轉
南京大學電子科學與工程學院","大學物理一,隨堂模式,南京大學,",科學,1
641,NJU/123/2015_t1,2015-03-02 14:00:00,2015-06-30 14:00:00,0,,西方思想經典,,"西方思想經典,隨堂模式,,",科學,1
