courseid,coursename
31057,AXT/CZS1001/201410
31058,AXT/CZS1002/201411
31059,AXT/CZS1003/201411
31060,AXT/CZY1001/201410
31061,AXT/CZY1002/201411
31062,AXT/CZY1003/201411
31063,AXT/GZDL1001/201411
31064,AXT/GZHX1001/201411
31065,AXT/GZLS1001/201411
31066,AXT/GZSW1001/201411
31067,AXT/GZSX1001/201411
31068,AXT/GZWL1001/201411
31069,AXT/GZYW1001/201411
31070,AXT/GZZZ1001/201411
31071,BJ5HS/ENG001/2015_T1
31072,ChengDuU/06418020/2015_T1
31073,ChengDuU/09420020/2014_T2
31074,ChengDuU/15520170/20150301
31075,DSA/30240184X/2015_T1
31076,DSA/30240184X_1/2015_T1
31077,DavidsonX/001x/2014_T2
31078,ENG/30640014X_1/2015_T1
31079,ENG/30640014X_2/2015_T1
31080,FUDAN/CFD004/2014.9-2015.1
31081,FUDAN/CFD004_1/2014_T2
31082,HVMOOC/0123/2015_01_01
31083,HVMOOC/DZ101/2014_T1
31084,HVMOOC/MU001/2015_T1
31085,HVMOOC/sict_01/2015_T1
31086,JXUFE/17424/2015_T1
31087,JXUFE/CS166/2014_T1
31088,JXUFE/LX01/042
31089,NCTU/DCT3082/2014_T2
31090,NEU/CSC0001/2015_T1
31091,NJU/10430484_2015X/2015_T1
31092,NJU/123/2015_t1
31093,NJU/EE001/2014_T1
31094,NJU/EE002/2014_T1
31095,NNGLOBAL/MOOC002/2014_2015_2
31096,NNGLOBAL/MOOC003/2014_2015_2
31097,NNGLOBAL/gem01/2015_T2
31098,NNGLOBAL/mooc007/2015_T2
31099,PEC/20220214X_9/2015_T1
31100,PEC/20220214_4X/2015_T1
31101,PEC/20220214_5X/2015_T1
31102,RiceX/Phys102x/_
31103,SEMS/LIKE150505/2015_06
31104,SpocDemo/20250064X/2015
31105,TSINGHUA/DATA101/2014_T2
31106,TSINGHUA/DATA103/2014_T2
31107,TSINGHUA/yaoclass2015/2015_T2
31108,TestVpc/xuetang_test_01/2015_T2
31109,ThtfSEM/THTF_1_01/2015_04
31110,ThtfSEM/THTF_2_01/2015_04
31111,ThtfSEM/THTF_2_02/2015_04
31112,TsinghuaSEM/MOOC2014004/2015_03
31113,TsinghuaSEM/MOOC2014005/2015_04
31114,TsinghuaX/THUSEM009/_
31115,TsinghuaX/THUSEM010/_
31116,TsinghuaX/TSINGHUA102/_
31117,USTC/MOOC001/2014_T2
31118,USTC/MOOC003/2014_T2
31119,YunTech/YunTech001/2015_T1
31120,course-v1:11+11+11
31121,course-v1:1111+111+111
31122,course-v1:365dx+006+2017_T1
31123,course-v1:365dx+035+2017_T1
31124,course-v1:365dx+036+2017_T1
31125,course-v1:365dx+041+2017_T1
31126,course-v1:365dx+109+2017_T1
31127,course-v1:365dx+111+2017_7
31128,course-v1:365dx+130+2016_T1
31129,course-v1:365dx+159+2016_T1
31130,course-v1:365dx+201+2017_T2
31131,course-v1:ACCA+FA1-MA1.X+3T2017
31132,course-v1:ACCA+FA1_X+2017_T2
31133,course-v1:ACCA+FA2-MA2.X+3T2017
31134,course-v1:ACCA+FA2-MA2_X+2016_T2
31135,course-v1:ACCA+FA2_X+2017_T2
31136,course-v1:ACCA+FAB-F1.x+3T2017
31137,course-v1:ACCA+FFA-F3.x+3T2017
31138,course-v1:ACCA+FMA-F2.x+3T2017
31139,course-v1:ACCA+MA1_X+2017_T2
31140,course-v1:ACCA+MA2_X+2017_T2
31141,course-v1:ANUx+EBM01x+1T2017
31142,course-v1:ANUx+EBM02x+2T2017
31143,course-v1:ANUx+EBM03x+2T2017
31144,course-v1:ANUx+EBM04x+2T2017
31145,course-v1:ANUx+EBM05x+3T2017
31146,course-v1:ANUx+EBM06x+3T2017
31147,course-v1:ANUx+EBM07x+3T2017
31148,course-v1:ANUx+Igno101x+1T2016
31149,course-v1:ASUx+ASM246+2174C
31150,course-v1:ASUx+AST111x+2174C
31151,course-v1:ASUx+CEE181x+2177A
31152,course-v1:ASUx+CSE110x+2177C
31153,course-v1:ASUx+ECN211x+2177A
31154,course-v1:ASUx+ENG101x+2174C
31155,course-v1:ASUx+ENG102x+2177B
31156,course-v1:ASUx+EXW100x+2177B
31157,course-v1:ASUx+FSE100x+2177C
31158,course-v1:ASUx+GBL500x+3T2016
31159,course-v1:ASUx+HST102x+2177A
31160,course-v1:ASUx+MAT170x+2T2017
31161,course-v1:ASUx+SOC101x+2174C
31162,course-v1:ASUx+TGM505x+1T2018
31163,course-v1:ASUx+TGM540x+1T2018
31164,course-v1:ASUx+TGM551x+1T2018
31165,course-v1:ASUx+TGM579x+1T2018
31166,course-v1:AdelaideX+AddictionX+3T2016
31167,course-v1:AdelaideX+AnalysisX+3T2017
31168,course-v1:AdelaideX+Bard101x+3T2017
31169,course-v1:AdelaideX+BigDataX+3T2017
31170,course-v1:AdelaideX+Code101x+1T2017
31171,course-v1:AdelaideX+CompX+3T2017
31172,course-v1:AdelaideX+Data101x+1T2017
31173,course-v1:AdelaideX+DataCapX+3T2017
31174,course-v1:AdelaideX+Lang101x+3T2016
31175,course-v1:AdelaideX+ProgramX+2T2017
31176,course-v1:AdelaideX+Project101x+1T2017
31177,course-v1:AdelaideX+RiskX+2T2017
31178,course-v1:AdelaideX+Wine101x+2017_T2
31179,course-v1:AdelaideX+Wine101x+2T2016
31180,course-v1:AdelaideX+Wine101x_1+2015_T1
31181,course-v1:AdelaideX+humbio101-x+2017_T2
31182,course-v1:Amazon+20170526X+2017_sp
31183,course-v1:BAYI+865+2017_T2
31184,course-v1:BAx+BAx4+2T2017
31185,course-v1:BIT+BIT2016001+sp
31186,course-v1:BIT+ELC05198+2016_2017
31187,course-v1:BIT+PHY17016+sp
31188,course-v1:BIT+PHY1701601+sp
31189,course-v1:BIT+PHY1701701+sp
31190,course-v1:BIT+PHY1701702+sp
31191,course-v1:BJTU+2017052601X+2017_T2
31192,course-v1:BJUT+2140074001x+2016_2017
31193,course-v1:BLCU+xdwxsx+2016T2
31194,course-v1:BLCUX+2130001903+sp
31195,course-v1:BLCUX+3010504602+sp
31196,course-v1:BLCUX+3010700103+sp
31197,course-v1:BLCUX+3270503103+sp
31198,course-v1:BMIEofNEU+BME001+2016_T1
31199,course-v1:BNU+2017001+2017_T1
